cEE,cH2,cNG,cCO2,tech,elec_prod,co2_capt,EI,TRL,Technology,,,,,,
0.025,0.1,0.055,0.25,Elec_CC,0,0.185903119,0.057768156,Medium: 6 - 7,4,,,,,,
0.025,0.1,0.055,0.35,Elec_CC,0,0.185903119,0.057768156,Medium: 6 - 7,4,,,,,,
0.025,0.1,0.075,0.075,Elec_CC,0,0.185903119,0.057768156,Medium: 6 - 7,4,,,,,,
0.025,0.1,0.075,0.15,Elec_CC,0,0.185903119,0.057768156,Medium: 6 - 7,4,,,,,,
0.025,0.1,0.075,0.25,Elec_CC,0,0.185903119,0.057768156,Medium: 6 - 7,4,,,,,,
0.025,0.1,0.075,0.35,Elec_CC,0,0.185903119,0.057768156,Medium: 6 - 7,4,,,,,,
0.025,0.1,0.1,0.075,Elec_CC,0,0.185903119,0.057768156,Medium: 6 - 7,4,,,,,,
0.025,0.1,0.1,0.15,Elec_CC,0,0.185903119,0.057768156,Medium: 6 - 7,4,,,,,,
0.025,0.1,0.1,0.25,Elec_CC,0,0.185903119,0.057768156,Medium: 6 - 7,4,,,,,,
0.025,0.1,0.1,0.35,Elec_CC,0,0.185903119,0.057768156,Medium: 6 - 7,4,,,,,,
0.025,0.15,0.01,0.075,Hyb_ORC_CC,1.36892,0.287955929,0.071089391,Medium: 6 - 7,3,,,,,,
